Format,2.0E,
Memory Length,100000,
IntpDistance,0,
Trigger Address,0,
Trigger Level,8.000E-03,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,5.000E+00,
Vertical Position,0.000E+00,
Horizontal Units,S,
Horizontal Scale,5.000E-01,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Display Last Dot Address,100000,
Waveform Last Dot Address,0,
SincET Mode,Real Time,
Sampling Period,5.000E-05,
Horizontal Old Scale,5.000E-01,
Horizontal Old Position,0.000E+00,
Firmware,V1.26,
Time,14-May-18 14:57:40,
Mode,Detail,
Waveform Data,
-2.479950e+00,4.40e+00,
-2.479900e+00,4.20e+00,
-2.479850e+00,4.20e+00,
-2.479800e+00,4.20e+00,
-2.479750e+00,4.20e+00,
-2.479700e+00,4.00e+00,
-2.479650e+00,4.00e+00,
-2.479600e+00,4.00e+00,
-2.479550e+00,3.80e+00,
-2.479500e+00,3.60e+00,
-2.479450e+00,3.60e+00,
-2.479400e+00,3.60e+00,
-2.479350e+00,3.40e+00,
-2.479300e+00,3.40e+00,
-2.479250e+00,3.20e+00,
-2.479200e+00,3.00e+00,
-2.479150e+00,2.80e+00,
-2.479100e+00,2.80e+00,
-2.479050e+00,2.60e+00,
-2.479000e+00,2.60e+00,
-2.478950e+00,2.40e+00,
-2.478900e+00,2.20e+00,
-2.478850e+00,2.20e+00,
-2.478800e+00,2.00e+00,
-2.478750e+00,1.80e+00,
-2.478700e+00,1.80e+00,
-2.478650e+00,1.40e+00,
-2.478600e+00,1.40e+00,
-2.478550e+00,1.20e+00,
-2.478500e+00,1.00e+00,
-2.478450e+00,8.00e-01,
-2.478400e+00,6.00e-01,
-2.478350e+00,4.00e-01,
-2.478300e+00,4.00e-01,
-2.478250e+00,2.00e-01,
-2.478200e+00,0.00e+00,
-2.478150e+00,-2.00e-01,
-2.478100e+00,-4.00e-01,
-2.478050e+00,-6.00e-01,
-2.478000e+00,-6.00e-01,
-2.477950e+00,-8.00e-01,
-2.477900e+00,-1.00e+00,
-2.477850e+00,-1.20e+00,
-2.477800e+00,-1.20e+00,
-2.477750e+00,-1.40e+00,
-2.477700e+00,-1.40e+00,
-2.477650e+00,-1.60e+00,
-2.477600e+00,-1.80e+00,
-2.477550e+00,-2.00e+00,
-2.477500e+00,-2.20e+00,
-2.477450e+00,-2.40e+00,
-2.477400e+00,-2.40e+00,
-2.477350e+00,-2.40e+00,
-2.477300e+00,-2.60e+00,
-2.477250e+00,-2.80e+00,
-2.477200e+00,-2.80e+00,
-2.477150e+00,-3.00e+00,
-2.477100e+00,-3.20e+00,
-2.477050e+00,-3.20e+00,
-2.477000e+00,-3.40e+00,
-2.476950e+00,-3.40e+00,
-2.476900e+00,-3.40e+00,
-2.476850e+00,-3.60e+00,
-2.476800e+00,-3.60e+00,
-2.476750e+00,-3.60e+00,
-2.476700e+00,-3.80e+00,
-2.476650e+00,-3.80e+00,
-2.476600e+00,-3.80e+00,
-2.476550e+00,-4.00e+00,
-2.476500e+00,-3.80e+00,
-2.476450e+00,-4.00e+00,
-2.476400e+00,-3.80e+00,
-2.476350e+00,-3.80e+00,
-2.476300e+00,-3.80e+00,
-2.476250e+00,-3.80e+00,
-2.476200e+00,-3.80e+00,
-2.476150e+00,-3.80e+00,
-2.476100e+00,-3.80e+00,
-2.476050e+00,-3.80e+00,
-2.476000e+00,-3.80e+00,
-2.475950e+00,-3.60e+00,
-2.475900e+00,-3.60e+00,
-2.475850e+00,-3.60e+00,
-2.475800e+00,-3.60e+00,
-2.475750e+00,-3.40e+00,
-2.475700e+00,-3.40e+00,
-2.475650e+00,-3.20e+00,
-2.475600e+00,-3.20e+00,
-2.475550e+00,-3.00e+00,
-2.475500e+00,-3.00e+00,
-2.475450e+00,-2.80e+00,
-2.475400e+00,-2.80e+00,
-2.475350e+00,-2.60e+00,
-2.475300e+00,-2.60e+00,
-2.475250e+00,-2.40e+00,
-2.475200e+00,-2.40e+00,
-2.475150e+00,-2.20e+00,
-2.475100e+00,-2.00e+00,
-2.475050e+00,-1.80e+00,
-2.475000e+00,-1.80e+00,
-2.474950e+00,-1.60e+00,
-2.474900e+00,-1.40e+00,
-2.474850e+00,-1.40e+00,
-2.474800e+00,-1.20e+00,
-2.474750e+00,-1.00e+00,
-2.474700e+00,-8.00e-01,
-2.474650e+00,-6.00e-01,
-2.474600e+00,-6.00e-01,
-2.474550e+00,-2.00e-01,
-2.474500e+00,-2.00e-01,
-2.474450e+00,0.00e+00,
-2.474400e+00,0.00e+00,
-2.474350e+00,2.00e-01,
-2.474300e+00,4.00e-01,
-2.474250e+00,6.00e-01,
-2.474200e+00,6.00e-01,
-2.474150e+00,1.00e+00,
-2.474100e+00,1.00e+00,
-2.474050e+00,1.20e+00,
-2.474000e+00,1.40e+00,
-2.473950e+00,1.60e+00,
-2.473900e+00,1.60e+00,
-2.473850e+00,1.80e+00,
-2.473800e+00,2.00e+00,
-2.473750e+00,2.00e+00,
-2.473700e+00,2.40e+00,
-2.473650e+00,2.40e+00,
-2.473600e+00,2.40e+00,
-2.473550e+00,2.60e+00,
-2.473500e+00,2.80e+00,
-2.473450e+00,3.00e+00,
-2.473400e+00,3.20e+00,
-2.473350e+00,3.20e+00,
-2.473300e+00,3.40e+00,
-2.473250e+00,3.40e+00,
-2.473200e+00,3.60e+00,
-2.473150e+00,3.60e+00,
-2.473100e+00,3.80e+00,
-2.473050e+00,3.80e+00,
-2.473000e+00,3.80e+00,
-2.472950e+00,4.00e+00,
-2.472900e+00,4.00e+00,
-2.472850e+00,4.20e+00,
-2.472800e+00,4.20e+00,
-2.472750e+00,4.40e+00,
-2.472700e+00,4.40e+00,
-2.472650e+00,4.40e+00,
-2.472600e+00,4.60e+00,
-2.472550e+00,4.60e+00,
-2.472500e+00,4.60e+00,
-2.472450e+00,4.80e+00,
-2.472400e+00,4.60e+00,
-2.472350e+00,4.60e+00,
-2.472300e+00,4.60e+00,
-2.472250e+00,4.60e+00,
-2.472200e+00,4.60e+00,
-2.472150e+00,4.60e+00,
-2.472100e+00,4.60e+00,
-2.472050e+00,4.60e+00,
-2.472000e+00,4.80e+00,
-2.471950e+00,4.60e+00,
-2.471900e+00,4.60e+00,
-2.471850e+00,4.40e+00,
-2.471800e+00,4.40e+00,
-2.471750e+00,4.40e+00,
-2.471700e+00,4.20e+00,
-2.471650e+00,4.20e+00,
-2.471600e+00,4.20e+00,
-2.471550e+00,4.20e+00,
-2.471500e+00,4.00e+00,
-2.471450e+00,3.80e+00,
-2.471400e+00,3.80e+00,
-2.471350e+00,3.60e+00,
-2.471300e+00,3.60e+00,
-2.471250e+00,3.60e+00,
-2.471200e+00,3.40e+00,
-2.471150e+00,3.40e+00,
-2.471100e+00,3.20e+00,
-2.471050e+00,3.00e+00,
-2.471000e+00,3.00e+00,
-2.470950e+00,2.80e+00,
-2.470900e+00,2.60e+00,
-2.470850e+00,2.40e+00,
-2.470800e+00,2.20e+00,
-2.470750e+00,2.20e+00,
-2.470700e+00,2.20e+00,
-2.470650e+00,1.80e+00,
-2.470600e+00,1.80e+00,
-2.470550e+00,1.60e+00,
-2.470500e+00,1.40e+00,
-2.470450e+00,1.40e+00,
-2.470400e+00,1.20e+00,
-2.470350e+00,1.00e+00,
-2.470300e+00,8.00e-01,
-2.470250e+00,6.00e-01,
-2.470200e+00,2.00e-01,
-2.470150e+00,2.00e-01,
-2.470100e+00,0.00e+00,
-2.470050e+00,-2.00e-01,
-2.470000e+00,-2.00e-01,
-2.469950e+00,-4.00e-01,
-2.469900e+00,-6.00e-01,
-2.469850e+00,-8.00e-01,
-2.469800e+00,-1.00e+00,
-2.469750e+00,-1.00e+00,
-2.469700e+00,-1.20e+00,
-2.469650e+00,-1.40e+00,
-2.469600e+00,-1.40e+00,
-2.469550e+00,-1.60e+00,
-2.469500e+00,-1.80e+00,
-2.469450e+00,-2.00e+00,
-2.469400e+00,-2.00e+00,
-2.469350e+00,-2.20e+00,
-2.469300e+00,-2.40e+00,
-2.469250e+00,-2.40e+00,
-2.469200e+00,-2.60e+00,
-2.469150e+00,-2.60e+00,
-2.469100e+00,-2.80e+00,
